Province,Year,GDPPerCapita,PovertyRate,InterestRate,InflationRate
Gorontalo,2024,47477000.0,12.62,6.0,2.5
Jawa Barat,2024,59865000.0,6.78,6.0,2.5
Kepulauan Bangka Belitung,2024,75323000.0,4.77,6.0,2.5
Aceh,2024,45770000.0,12.22,6.0,2.5
Sumatera Barat,2024,59549000.0,5.31,6.0,2.5
Banten,2024,74673000.0,5.51,6.0,2.5
Nusa Tenggara Timur,2024,25837000.0,17.5,6.0,2.5
Jawa Timur,2024,80856000.0,9.3,6.0,2.5
Kepulauan Riau,2024,172459000.0,4.26,6.0,2.5
Jawa Tengah,2024,50824000.0,9.39,6.0,2.5
Papua Selatan,2024,64928000.0,19.26,6.0,2.5
Kalimantan Selatan,2024,70577000.0,3.73,6.0,2.5
Sulawesi Barat,2024,46654000.0,10.18,6.0,2.5
Sulawesi Tengah,2024,131643000.0,10.52,6.0,2.5
Nusa Tenggara Barat,2024,33667000.0,11.38,6.0,2.5
Kalimantan Tengah,2024,84730000.0,4.94,6.0,2.5
Kalimantan Timur,2024,208331000.0,5.19,6.0,2.5
Riau,2024,176385000.0,6.3,6.0,2.5
Sumatera Utara,2024,78310000.0,7.24,6.0,2.5
DKI Jakarta,2024,367687000.0,4.03,6.0,2.5
Bengkulu,2024,52305000.0,11.88,6.0,2.5
Sulawesi Utara,2024,75235000.0,6.62,6.0,2.5
Lampung,2024,55009000.0,9.66,6.0,2.5
Sulawesi Selatan,2024,78748000.0,7.43,6.0,2.5
DI Yogyakarta,2024,55039000.0,10.08,6.0,2.5
Kalimantan Utara,2024,208210000.0,5.47,6.0,2.5
Sulawesi Tenggara,2024,72031000.0,10.14,6.0,2.5
Jambi,2024,92786000.0,6.89,6.0,2.5
Sumatera Selatan,2024,80663000.0,9.85,6.0,2.5
Bali,2024,72658000.0,3.42,6.0,2.5
Kalimantan Barat,2024,56984000.0,5.97,6.0,2.5
Maluku,2024,33652000.0,15.25,6.0,2.5
Papua Barat,2024,139213000.0,19.58,6.0,2.5
Papua Barat Daya,2024,61624000.0,17.5,6.0,2.5
Papua Tengah,2024,107566000.0,29.45,6.0,2.5
Papua,2024,84305000.0,17.82,6.0,2.5
Maluku Utara,2024,97262000.0,5.59,6.0,2.5
Papua Pegunungan,2024,19111000.0,27.21,6.0,2.5
